name,dim,percentage,k,type,normalised,2,4,6
glass,214,4.2056074766,30,1,1,0,0,0
glass,214,4.2056074766,30,0,0,0,0,1
glass,214,4.2056074766,30,0,1,1,0,0
glass,214,4.2056074766,50,1,0,0,0,0
glass,214,4.2056074766,50,1,1,0,0,0
glass,214,4.2056074766,50,0,0,0,0,0
glass,214,4.2056074766,50,0,1,1,0,0
glass,214,4.2056074766,100,1,0,0,0,0
glass,214,4.2056074766,100,1,1,1,1,1
glass,214,4.2056074766,100,0,0,0,0,0
glass,214,4.2056074766,100,0,1,1,1,1
glass,214,4.2056074766,200,1,0,1,1,0
glass,214,4.2056074766,200,1,1,0,0,0
glass,214,4.2056074766,200,0,0,0,0,1
glass,214,4.2056074766,200,0,1,1,0,0
annthyroid,7200,7.4166666667,300,1,0,0,0,0
annthyroid,7200,7.4166666667,300,1,1,1,0,0
annthyroid,7200,7.4166666667,300,0,0,0,0,0
annthyroid,7200,7.4166666667,300,0,1,1,0,0
arrhythmia,452,14.6017699115,10,1,0,1,0,0
arrhythmia,452,14.6017699115,10,1,1,0,0,0
arrhythmia,452,14.6017699115,10,0,0,0,1,1
arrhythmia,452,14.6017699115,10,0,1,0,0,0
arrhythmia,452,14.6017699115,30,1,0,0,0,0
arrhythmia,452,14.6017699115,30,1,1,1,0,0
arrhythmia,452,14.6017699115,30,0,0,0,0,0
arrhythmia,452,14.6017699115,30,0,1,1,0,0
arrhythmia,452,14.6017699115,50,1,0,0,0,0
arrhythmia,452,14.6017699115,50,1,1,1,0,0
arrhythmia,452,14.6017699115,50,0,0,0,0,0
arrhythmia,452,14.6017699115,50,0,1,1,0,0
arrhythmia,452,14.6017699115,100,1,0,0,0,0
arrhythmia,452,14.6017699115,100,1,1,0,0,0
arrhythmia,452,14.6017699115,100,0,0,0,0,0
arrhythmia,452,14.6017699115,100,0,1,1,0,0
arrhythmia,452,14.6017699115,200,1,0,0,0,0
arrhythmia,452,14.6017699115,200,1,1,0,0,0
arrhythmia,452,14.6017699115,200,0,0,0,1,0
arrhythmia,452,14.6017699115,200,0,1,0,0,0
arrhythmia,452,14.6017699115,300,1,0,0,0,0
arrhythmia,452,14.6017699115,300,1,1,0,0,0
arrhythmia,452,14.6017699115,300,0,0,1,1,0
arrhythmia,452,14.6017699115,300,0,1,0,0,0
breastw,683,34.9926793558,10,1,0,0,0,0
breastw,683,34.9926793558,10,1,1,0,0,0
breastw,683,34.9926793558,10,0,0,1,1,1
breastw,683,34.9926793558,10,0,1,0,1,0
breastw,683,34.9926793558,30,1,0,1,1,0
breastw,683,34.9926793558,30,1,1,1,1,1
breastw,683,34.9926793558,30,0,0,0,1,1
breastw,683,34.9926793558,30,0,1,1,1,1
breastw,683,34.9926793558,50,1,0,1,0,0
breastw,683,34.9926793558,50,1,1,1,1,0
breastw,683,34.9926793558,50,0,0,1,1,1
breastw,683,34.9926793558,50,0,1,1,0,1
breastw,683,34.9926793558,100,1,0,1,1,1
breastw,683,34.9926793558,100,1,1,0,0,0
breastw,683,34.9926793558,100,0,0,0,1,1
breastw,683,34.9926793558,100,0,1,0,1,1
breastw,683,34.9926793558,200,1,0,0,0,1
breastw,683,34.9926793558,200,1,1,1,1,0
breastw,683,34.9926793558,200,0,0,0,0,0
breastw,683,34.9926793558,200,0,1,0,0,1
breastw,683,34.9926793558,300,1,0,0,0,0
breastw,683,34.9926793558,300,1,1,0,0,0
breastw,683,34.9926793558,300,0,0,0,0,0
breastw,683,34.9926793558,300,0,1,0,0,0
cardio,1831,9.612233752,10,1,0,0,0,0
cardio,1831,9.612233752,10,1,1,0,1,0
cardio,1831,9.612233752,10,0,0,1,1,0
cardio,1831,9.612233752,10,0,1,0,0,0
cardio,1831,9.612233752,30,1,0,0,0,1
cardio,1831,9.612233752,30,1,1,1,1,1
cardio,1831,9.612233752,30,0,0,1,1,1
cardio,1831,9.612233752,30,0,1,1,1,1
cardio,1831,9.612233752,50,1,0,0,0,0
cardio,1831,9.612233752,50,1,1,1,1,1
cardio,1831,9.612233752,50,0,0,1,1,1
cardio,1831,9.612233752,50,0,1,0,0,0
cardio,1831,9.612233752,100,1,0,0,0,0
cardio,1831,9.612233752,100,1,1,0,0,0
cardio,1831,9.612233752,100,0,0,0,1,1
cardio,1831,9.612233752,100,0,1,0,0,0
cardio,1831,9.612233752,200,1,0,0,0,0
cardio,1831,9.612233752,200,1,1,0,0,0
cardio,1831,9.612233752,200,0,0,1,1,0
cardio,1831,9.612233752,200,0,1,0,0,0
cardio,1831,9.612233752,300,1,0,0,0,0
cardio,1831,9.612233752,300,1,1,0,0,0
cardio,1831,9.612233752,300,0,0,1,1,0
cardio,1831,9.612233752,300,0,1,0,0,0
ionosphere,351,35.8974358974,30,1,0,1,0,0
ionosphere,351,35.8974358974,30,1,1,0,0,0
ionosphere,351,35.8974358974,30,0,0,1,1,0
ionosphere,351,35.8974358974,30,0,1,0,0,0
ionosphere,351,35.8974358974,50,1,0,0,0,0
ionosphere,351,35.8974358974,50,1,1,0,0,0
ionosphere,351,35.8974358974,50,0,0,1,1,0
ionosphere,351,35.8974358974,50,0,1,0,0,0
ionosphere,351,35.8974358974,100,1,0,0,0,0
ionosphere,351,35.8974358974,100,1,1,0,0,0
ionosphere,351,35.8974358974,100,0,0,1,0,0
ionosphere,351,35.8974358974,100,0,1,0,0,0
ionosphere,351,35.8974358974,200,1,0,0,0,0
ionosphere,351,35.8974358974,200,1,1,0,0,1
ionosphere,351,35.8974358974,200,0,0,0,0,0
ionosphere,351,35.8974358974,200,0,1,0,0,0
ionosphere,351,35.8974358974,300,1,0,1,1,1
ionosphere,351,35.8974358974,300,1,1,1,1,1
ionosphere,351,35.8974358974,300,0,0,1,1,1
ionosphere,351,35.8974358974,300,0,1,1,1,1
letter,1600,6.25,10,1,0,0,0,0
letter,1600,6.25,10,1,1,1,1,0
letter,1600,6.25,10,0,0,0,0,0
letter,1600,6.25,10,0,1,1,0,0
letter,1600,6.25,30,1,0,1,1,0
letter,1600,6.25,30,1,1,1,1,1
letter,1600,6.25,30,0,0,0,0,0
letter,1600,6.25,30,0,1,1,1,0
letter,1600,6.25,50,1,0,1,1,0
letter,1600,6.25,50,1,1,1,1,1
letter,1600,6.25,50,0,0,0,0,0
letter,1600,6.25,50,0,1,1,1,1
letter,1600,6.25,100,1,0,1,1,0
letter,1600,6.25,100,1,1,1,1,1
letter,1600,6.25,100,0,0,0,0,1
letter,1600,6.25,100,0,1,1,1,1
letter,1600,6.25,200,1,0,1,1,0
letter,1600,6.25,200,1,1,1,1,1
letter,1600,6.25,200,0,0,0,1,1
letter,1600,6.25,200,0,1,1,1,1
letter,1600,6.25,300,1,0,1,1,1
letter,1600,6.25,300,1,1,1,1,1
letter,1600,6.25,300,0,0,0,1,1
letter,1600,6.25,300,0,1,1,1,1
lympho,148,4.0540540541,10,1,0,0,0,0
lympho,148,4.0540540541,10,1,1,0,0,0
lympho,148,4.0540540541,10,0,0,0,0,0
lympho,148,4.0540540541,10,0,1,0,1,0
lympho,148,4.0540540541,30,1,0,0,0,0
lympho,148,4.0540540541,30,1,1,0,0,0
lympho,148,4.0540540541,30,0,0,0,0,0
lympho,148,4.0540540541,30,0,1,0,0,0
lympho,148,4.0540540541,50,1,0,0,0,0
lympho,148,4.0540540541,50,1,1,0,0,0
lympho,148,4.0540540541,50,0,0,1,1,0
lympho,148,4.0540540541,50,0,1,0,0,0
lympho,148,4.0540540541,100,1,0,0,0,0
lympho,148,4.0540540541,100,1,1,0,0,0
lympho,148,4.0540540541,100,0,0,1,1,1
lympho,148,4.0540540541,100,0,1,1,1,1
mammography,11183,2.3249575248,10,1,0,1,0,0
mammography,11183,2.3249575248,10,1,1,0,0,0
mammography,11183,2.3249575248,10,0,0,1,0,1
mammography,11183,2.3249575248,10,0,1,0,0,0
mammography,11183,2.3249575248,30,1,0,0,0,0
mammography,11183,2.3249575248,30,1,1,0,0,0
mammography,11183,2.3249575248,30,0,0,1,0,0
mammography,11183,2.3249575248,30,0,1,0,0,0
mammography,11183,2.3249575248,50,1,0,0,0,0
mammography,11183,2.3249575248,50,1,1,0,0,0
mammography,11183,2.3249575248,50,0,0,1,0,0
mammography,11183,2.3249575248,50,0,1,0,0,0
mammography,11183,2.3249575248,100,1,0,0,0,0
mammography,11183,2.3249575248,100,1,1,0,0,0
mammography,11183,2.3249575248,100,0,0,1,0,0
mammography,11183,2.3249575248,100,0,1,0,0,0
mammography,11183,2.3249575248,200,1,0,0,0,0
mammography,11183,2.3249575248,200,1,1,0,0,0
mammography,11183,2.3249575248,200,0,0,1,0,0
mammography,11183,2.3249575248,200,0,1,0,0,0
mammography,11183,2.3249575248,300,1,0,0,0,0
mammography,11183,2.3249575248,300,1,1,0,0,0
mammography,11183,2.3249575248,300,0,0,1,0,0
mammography,11183,2.3249575248,300,0,1,0,0,0
mnist,7603,9.2068920163,10,1,0,0,0,1
mnist,7603,9.2068920163,10,1,1,1,1,1
mnist,7603,9.2068920163,10,0,0,1,1,0
mnist,7603,9.2068920163,10,0,1,1,1,1
mnist,7603,9.2068920163,30,1,0,0,0,0
mnist,7603,9.2068920163,30,1,1,1,1,1
mnist,7603,9.2068920163,30,0,0,1,0,0
mnist,7603,9.2068920163,30,0,1,1,1,1
mnist,7603,9.2068920163,50,1,0,0,0,0
mnist,7603,9.2068920163,50,1,1,1,1,0
mnist,7603,9.2068920163,50,0,0,1,0,0
mnist,7603,9.2068920163,50,0,1,1,1,1
mnist,7603,9.2068920163,100,1,0,0,0,0
mnist,7603,9.2068920163,100,1,1,0,0,0
mnist,7603,9.2068920163,100,0,0,1,0,0
mnist,7603,9.2068920163,100,0,1,1,1,1
mnist,7603,9.2068920163,200,1,0,1,1,0
mnist,7603,9.2068920163,200,1,1,0,0,0
mnist,7603,9.2068920163,200,0,0,0,0,0
mnist,7603,9.2068920163,200,0,1,1,1,1
mnist,7603,9.2068920163,300,1,0,1,1,1
mnist,7603,9.2068920163,300,1,1,0,0,0
mnist,7603,9.2068920163,300,0,0,0,0,0
mnist,7603,9.2068920163,300,0,1,1,1,1
musk,3062,3.1678641411,10,1,0,0,0,0
musk,3062,3.1678641411,10,1,1,0,0,0
musk,3062,3.1678641411,10,0,0,0,0,0
musk,3062,3.1678641411,10,0,1,0,0,0
musk,3062,3.1678641411,30,1,0,0,0,0
musk,3062,3.1678641411,30,1,1,0,0,1
musk,3062,3.1678641411,30,0,0,1,1,1
musk,3062,3.1678641411,30,0,1,1,0,0
musk,3062,3.1678641411,50,1,0,0,0,0
musk,3062,3.1678641411,50,1,1,0,0,0
musk,3062,3.1678641411,50,0,0,1,1,0
musk,3062,3.1678641411,50,0,1,0,0,0
musk,3062,3.1678641411,100,1,0,1,1,1
musk,3062,3.1678641411,100,1,1,0,0,1
musk,3062,3.1678641411,100,0,0,1,1,1
musk,3062,3.1678641411,100,0,1,1,1,1
musk,3062,3.1678641411,200,1,0,0,0,0
musk,3062,3.1678641411,200,1,1,0,0,0
musk,3062,3.1678641411,200,0,0,0,0,0
musk,3062,3.1678641411,200,0,1,0,0,0
musk,3062,3.1678641411,300,1,0,0,0,0
musk,3062,3.1678641411,300,1,1,0,0,0
