,,,,,equalfreq original,equalfreq original,equalfreq original,equalfreq original,equalfreq normalise,equalfreq normalise,equalfreq normalise,equalfreq normalise,equalwidth original,equalwidth original,equalwidth original,equalwidth original,equalwidth normalise,equalwidth normalise,equalwidth normalise,equalwidth normalise
,name,dimensions,percentage,k,0,2,4,6,0,2,4,6,0,2,4,6,0,2,4,6
1,glass,214,4.2056074766,30,0.772899729,0.8395663957,0.718699187,0.7300813008,0.772899729,0.6054200542,0.5948509485,0.5975609756,0.772899729,0.7452574526,0.4744832041,0.9859022556,0.772899729,0.7739837398,0.2977941176,0.1594626168
2,glass,214,4.2056074766,50,0.7907859079,0.7479674797,0.6411924119,0.7859078591,0.7907859079,0.7100271003,0.747696477,0.4382113821,0.7907859079,0.7777777778,0.7097560976,0.2099780702,0.7907859079,0.8119241192,0.1058006536,0.4160714286
3,glass,214,4.2056074766,100,0.7571815718,0.6959349593,0.7425474255,0.7485094851,0.7571815718,0.7593495935,0.7948509485,0.7579945799,0.7571815718,0.7127371274,0.7363143631,0.6742547425,0.7571815718,0.7582655827,0.7780487805,0.7631436314
4,glass,214,4.2056074766,200,0.6769647696,0.6959349593,0.6785907859,0.6184281843,0.6769647696,0.4872628726,0.4756097561,0.4739837398,0.6769647696,0.5528455285,0.4853658537,0.739295393,0.6769647696,0.7528455285,0.5558265583,0.5224932249
5,annthyroid,7200,7.4166666667,300,0.6835427925,0.6632784065,0.6470485532,0.5406446544,0.6835427925,0.7240374318,0.6800102763,0.5092635975,0.6835427925,0.6796105172,0.4203183586,0.1756061719,0.6835427925,0.7418397739,0.451115232,0.3504743289
6,arrhythmia,452,14.6017699115,10,0.731865285,0.7371251374,0.7142801068,0.6148531952,0.731865285,0.7246035484,0.6446851939,0.5796435861,0.731865285,0.7255063589,0.7569084629,0.7460354844,0.731865285,0.7306877061,0.6773041294,0.5446302402
7,arrhythmia,452,14.6017699115,30,0.8046789135,0.7890563668,0.7689197676,0.6781284346,0.8046789135,0.8070340713,0.7410111477,0.5752865442,0.8046789135,0.7739048516,0.7881143037,0.7629533679,0.8046789135,0.8163369446,0.7727272727,0.5929502277
8,arrhythmia,452,14.6017699115,50,0.813000471,0.7973386717,0.7784581567,0.6886481394,0.813000471,0.8193593971,0.7489009264,0.5668864814,0.813000471,0.7910189983,0.7965143665,0.7605197048,0.813000471,0.8307034071,0.757850526,0.5924399435
9,arrhythmia,452,14.6017699115,100,0.8132752394,0.8007143979,0.7836002512,0.6899827288,0.8132752394,0.8059349976,0.7384597268,0.5652771236,0.8132752394,0.8024807662,0.8035013346,0.764209452,0.8132752394,0.8239912074,0.7350840006,0.5832548281
